
	nk	dk	Ds	Q
 37.0 0.025865921787709495 0.4767709497206704 0.3307262569832402
 67.0 0.016927374301675978 0.45393296089385476 0.3167597765363128
 25.0 0.017039106145251396 0.464536312849162 0.5346368715083799
 41.0 0.015474860335195531 0.4677988826815643 0.735754189944134
 23.0 0.017150837988826814 0.4743240223463687 0.5513966480446928
 28.0 0.011340782122905027 0.4335418994413408 0.37821229050279326
 63.0 0.010335195530726256 0.43598882681564244 0.30558659217877093
 31.0 0.014916201117318435 0.4580111731843576 0.3
 30.0 0.011564245810055867 0.48084916201117317 0.7972067039106145
 43.0 0.014581005586592179 0.477586592178771 0.5932960893854748
 73.0 0.015251396648044691 0.47350837988826816 0.7441340782122905
 23.0 0.013463687150837988 0.4702458100558659 0.6156424581005586
 48.0 0.012458100558659218 0.4751396648044693 0.7720670391061453
 40.0 0.015363128491620111 0.47595530726256985 0.5402234636871508
 24.0 0.026648044692737426 0.4506703910614525 0.5150837988826815
 29.0 0.012905027932960894 0.48818994413407824 0.4284916201117318
 54.0 0.019162011173184355 0.484927374301676 0.5793296089385475
 39.0 0.02608938547486033 0.4629050279329609 0.7581005586592179
 36.0 0.02329608938547486 0.4416983240223464 0.4592178770949721
 43.0 0.028100558659217872 0.4841117318435754 0.5569832402234637
 40.0 0.027541899441340778 0.4726927374301676 0.6966480446927374
 53.0 0.014022346368715084 0.4890055865921788 0.33910614525139665
 61.0 0.01111731843575419 0.4669832402234637 0.752513966480447
 35.0 0.010670391061452515 0.492268156424581 0.35027932960893854
 34.0 0.024636871508379884 0.4474078212290503 0.4480446927374302
 31.0 0.021508379888268155 0.4604581005586592 0.6044692737430167
 25.0 0.02966480446927374 0.46616759776536315 0.5094972067039106
 63.0 0.01960893854748603 0.46861452513966484 0.7078212290502793
 31.0 0.025418994413407822 0.4873743016759777 0.5206703910614525
 26.0 0.020502793296089384 0.45230167597765364 0.39217877094972065
 68.0 0.010111731843575418 0.43762011173184356 0.48435754189944136
 46.0 0.013575418994413408 0.4653519553072626 0.788826815642458
 68.0 0.012569832402234637 0.48982122905027936 0.7553072625698324
 42.0 0.02955307262569832 0.47106145251396647 0.7162011173184357
 35.0 0.029329608938547483 0.4555642458100559 0.5290502793296089
 54.0 0.01659217877094972 0.49145251396648043 0.5597765363128491
 47.0 0.013351955307262568 0.44006703910614525 0.512290502793296
 51.0 0.01558659217877095 0.47840223463687154 0.40893854748603353
 25.0 0.017486033519553072 0.4938994413407821 0.5988826815642458
 32.0 0.021284916201117318 0.44496089385474863 0.42569832402234636
 27.0 0.021396648044692733 0.4433296089385475 0.3642458100558659
 58.0 0.01860335195530726 0.44985474860335195 0.6575418994413408
 30.0 0.013016759776536314 0.4408826815642458 0.38100558659217876
 24.0 0.024748603351955306 0.47187709497206703 0.7748603351955308
 63.0 0.016145251396648044 0.4865586592178771 0.40614525139664803
 38.0 0.018379888268156425 0.4531173184357542 0.3614525139664804
 42.0 0.02832402234636871 0.4514860335195531 0.7776536312849163
 33.0 0.012011173184357541 0.4612737430167598 0.5681564245810056
 56.0 0.015139664804469273 0.4490391061452514 0.32513966480446926
 41.0 0.02217877094972067 0.4588268156424581 0.8
 46.0 0.01770949720670391 0.4457765363128492 0.34748603351955304
 80.0 0.01100558659217877 0.44414525139664807 0.7217877094972067
 30.0 0.011675977653631285 0.45637988826815645 0.47039106145251397
 35.0 0.018826815642458097 0.4384357541899441 0.4620111731843575
